harga_per_luas_area,jumlah_garasi,jumlah_kamar_tidur,jumlah_kamar_mandi,lokasi,luas_bangunan,luas_tanah,tipe_bangunan
1090000000.0,2.0,3.0,2.0,mapanget,60.0,120.0,rumah
2650000000.0,,,,tikala,,600.0,tanah
1100000000.0,1.0,4.0,4.0,malalayang,150.0,160.0,rumah
,,,,tikala,,29000.0,tanah
1500000.0,,,,mapanget,,27000.0,tanah
1700000000.0,,3.0,2.0,wanea,400.0,295.0,rumah
1950000000.0,,,,wanea,,3000.0,tanah
,,,,mapanget,,10430.0,tanah
,,,,mapanget,,2576.0,tanah
1750000000.0,,,,mapanget,,930.0,tanah
1000000.0,,,,mapanget,,8880.0,tanah
3600000000.0,,,,tikala,,2400.0,tanah
3500000.0,,,,malalayang,,58000.0,tanah
1250000.0,,,,mapanget,,3000.0,tanah
6500000000.0,,5.0,4.0,wanea,400.0,590.0,rumah
6990000000.0,,,,wanea,,1134.0,tanah
18000000000.0,,6.0,6.0,wenang,1000.0,725.0,rumah
650000000.0,,,,wenang,,300.0,tanah
1370000000.0,,3.0,2.0,tikala,71.0,90.0,rumah
2770000000.0,,5.0,3.0,mapanget,145.0,200.0,rumah
1750000000.0,,3.0,2.0,mapanget,100.0,127.0,rumah
24000000000.0,,1.0,,tikala,2500.0,4300.0,ruang usaha
5000000.0,,,,mapanget,,1980.0,tanah
3500000.0,,,,mapanget,,6214.0,tanah
,,,,mapanget,,28322.0,tanah
10000000.0,,,,malalayang,,1080.0,tanah
2000000000.0,,,,malalayang,,267.0,tanah
5000000.0,,,,mapanget,,3548.0,tanah
3500000000.0,3.0,4.0,3.0,wanea,317.0,627.0,rumah
12500000000.0,,4.0,,singkil,970.0,1179.0,ruko
3500000000.0,,5.0,3.0,mapanget,250.0,373.0,rumah
2700000000.0,1.0,6.0,4.0,malalayang,300.0,240.0,rumah
850000000.0,1.0,3.0,2.0,mapanget,70.0,120.0,rumah
600000000.0,,,,mapanget,,600.0,tanah
16000000000.0,,,,wanea,,13245.0,tanah
5000000.0,,,,wanea,,375.0,tanah
3500000000.0,1.0,6.0,5.0,mapanget,224.0,287.0,rumah
1200000.0,,,,mapanget,,20020.0,tanah
850000000.0,,,,singkil,,248.0,tanah
850000000.0,,,,paal dua,,593.0,tanah
250000000.0,,4.0,,wenang,672.0,169.0,ruko
1500000000.0,,,,mapanget,88.0,93.0,rumah
5500000000.0,,,,paal dua,460.0,263.0,rumah
258000000.0,1.0,2.0,1.0,mapanget,51.0,136.0,rumah
355000000.0,1.0,2.0,1.0,mapanget,65.0,180.0,rumah
621000000.0,2.0,4.0,2.0,mapanget,99.0,120.0,rumah
819000000.0,1.0,2.0,1.0,mapanget,56.0,235.0,rumah
1220000000.0,1.0,3.0,2.0,mapanget,105.0,209.0,rumah
563000000.0,2.0,4.0,2.0,mapanget,132.0,150.0,rumah
200000000.0,1.0,3.0,1.0,mapanget,87.0,126.0,rumah
210000000.0,1.0,3.0,2.0,mapanget,92.0,150.0,rumah
135000000.0,1.0,2.0,1.0,mapanget,36.0,120.0,rumah
214000000.0,1.0,3.0,1.0,mapanget,51.0,144.0,rumah
164000000.0,1.0,2.0,1.0,mapanget,38.0,162.0,rumah
247000000.0,1.0,2.0,1.0,mapanget,63.0,162.0,rumah
10600000000.0,,1.0,,malalayang,500.0,5.0,ruang usaha
1090000000.0,1.0,3.0,2.0,mapanget,113.0,204.0,rumah
